Year,Period,Area,Income Source,Income Type,Income
2019,Annual,Kern County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,271"
2019,Annual,Kern County,U.S. BEA - Local Data,Total Personal Income - BEA,"$35,596,941"
2018,Annual,Kern County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$37,557"
2018,Annual,Kern County,U.S. BEA - Local Data,Total Personal Income - BEA,"$33,813,117"
2017,Annual,Kern County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,574"
2017,Annual,Kern County,U.S. BEA - Local Data,Total Personal Income - BEA,"$32,666,174"
2016,Annual,Kern County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,168"
2016,Annual,Kern County,U.S. BEA - Local Data,Total Personal Income - BEA,"$32,048,150"
2015,Annual,Kern County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,532"
2015,Annual,Kern County,U.S. BEA - Local Data,Total Personal Income - BEA,"$32,173,940"
2014,Annual,Kern County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$20,644"
2014,Annual,Kern County,U.S. BEA - Local Data,Total Personal Income - BEA,"$65,917"
2022,Annual,Kings County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$42,525"
2022,Annual,Kings County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,505,590"
2021,Annual,Kings County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,818"
2021,Annual,Kings County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,690,054"
2020,Annual,Kings County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,185"
